model_1,model_2,rate_1,rate_2,odds_ratio,p_value,cohens_h,p_bonferroni,significant
anthropic:claude-haiku-4-5-20251001,anthropic:claude-opus-4-20250514,0.25,0.30072225869993435,0.7751091703056768,0.002051494771916576,-0.11365748618036542,0.02051494771916576,True
anthropic:claude-haiku-4-5-20251001,anthropic:claude-sonnet-4-20250514,0.25,0.4741011578305911,0.369751499571551,2.5015379915013394e-38,-0.4717779010511223,2.501537991501339e-37,True
anthropic:claude-haiku-4-5-20251001,openai:gpt-4o-mini,0.25,0.00860832137733142,38.388888888888886,1.933316048186814e-98,0.8613682049716465,1.933316048186814e-97,True
anthropic:claude-haiku-4-5-20251001,openai:gpt-5.2,0.25,0.10347222222222222,2.888143176733781,2.8528432751752004e-25,0.3922100725793868,2.8528432751752004e-24,True
anthropic:claude-opus-4-20250514,anthropic:claude-sonnet-4-20250514,0.30072225869993435,0.4741011578305911,0.47703151212329675,1.2663835271602714e-23,-0.35812041487075685,1.2663835271602713e-22,True
anthropic:claude-opus-4-20250514,openai:gpt-4o-mini,0.30072225869993435,0.00860832137733142,49.52707355242566,3.027622026571166e-126,0.9750256911520119,3.027622026571166e-125,True
anthropic:claude-opus-4-20250514,openai:gpt-5.2,0.30072225869993435,0.10347222222222222,3.7261114787156946,7.13067856544406e-42,0.5058675587597522,7.130678565444061e-41,True
anthropic:claude-sonnet-4-20250514,openai:gpt-4o-mini,0.4741011578305911,0.00860832137733142,103.82348397064504,2.59839815381566e-234,1.3331461060227687,2.59839815381566e-233,True
anthropic:claude-sonnet-4-20250514,openai:gpt-5.2,0.4741011578305911,0.10347222222222222,7.811038440899935,4.7037645589976463e-119,0.863987973630509,4.7037645589976465e-118,True
openai:gpt-4o-mini,openai:gpt-5.2,0.00860832137733142,0.10347222222222222,0.07523383094241397,5.46005505978781e-32,-0.4691581323922597,5.460055059787809e-31,True
